ProductNumber,ProductArName,ProductEnName,BrandName,CounrtyEn,PackageVolume,UnitEn,manufactureenglishname,ListedNameEn
2017-0140124-091070,كين غسول العناية بالفم 250مل ,Kin Care Mouthwash 250 ml,kin ,Spain,250,Milliliter (ml),Laboratorios Kin S.A,Zimmo Trading Company Limited
2017-0140114-069776,أورال-بي فروت بورست للأطفال معجون أسنان بالفلوريد ,Oral-B Fruit Burst Stages Anticavity Fluoride Toot,ORAL B,Germany,75,Milliliter (ml),Procter & Gamble Manufacturing GmbH,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2019-0140124-160323,دينتم بروتيكت,DENTUM Protect,FAST,Jordan,250,Milligram )mg(,Al-motakadema for pharmaceuticals,Al-Razi orbits for wholesale and retail trade
2016-0140114-044524,شيكو دينتيفراكو ميل ابل بنانا توث باستا,CHICCO DENTIFRICIO MELA APPLE BANANA TOOTHPASTE,Chicco,Italy,50,Milliliter (ml),Artsana S.p.A,Sadana trading co.
2016-0140114-044525,شيكو دينتيراكيو ميل ابل بنانا توث باستا,CHICCO DENTIFRICIO MELA APPLE BANANA TOOTHPASTE,Chicco,Italy,50,Milliliter (ml),Artsana S.p.A,Sadana trading co.
2016-0140114-014490,بروبوليو فريش معجون أسنان بالفلورايد وعكبر النحل,PROPOLEO FRESH TOOTHPASTE WITH FLORIDE AND PROPOLI,PROPOLEO,Turkey,100,Gram (g),Alpha Cosmetic,Abdullah Abdul Rahman Ali Al Anzi Contracting Est.
2016-0140114-014539,مجموعة فنادق الفردوس ، معجون أسنان ,"Al Ferdaus Hotels Group, Toothpaste",Al Ferdaus Group,China,6,Gram (g),Yangzhou New Lotus,Rolaco Hospitality Supplies
2016-0140134Code6-014605,اى وايت تبيض الاسنان الفورى ,Iwhite Interdental Whitener,Sylphar NV,Belgium,125,Prefiiled Trays,Sylphar nv,Netaq Al-geldia trading LLC
2016-0140124-014612,فريش توك ضد الترسبات الجيريه غسول الفم ,Freshtalk Anti-Plaque Mouthwash,Freshtalk,United Kingdom,500,Milliliter (ml),Sutton Manufacturing Solutions,"BAABDULRAHIM TRADING CO., LTD"
2016-0140114-014688,جل للأسنان TicTacDent,Dental Gel TicTacDent,TicTacDent,Spain,50,Milliliter (ml),Spanish Kits Company,ِAutomated bakery of Abdulmohsen Mohammed Allaboun
2016-0140114-044570,الجيديوم معجون أسنان المبيض,Elgydium toothpaste whitening,Elgydium,France,75,Milliliter (ml),Pierre Fabre Medicament Production,Bader Salem A.Bugshan and Bros
2018-014015401541-127095,ترست جل غسول للفم,Trust Gel Mouth Wash,Trust Gel,Saudi Arabia,20,Milliliter (ml),Sehr Al Reef Factory Co.,life sources establishment
2018-0140124-109036,غسول الفم,Aigner white Mouthwash,AIGNER,China,40,Milliliter (ml),Ming Fai Industrial (Shenzhen) Co. Ltd.,Abbar Trading Est.
2018-0140124Code4-109151,تى تى أو بخاخ للفم,TTO ORAL SPRAY,TTO,Turkey,25,Milliliter (ml), Jeomed İlaç ve Sağlık Ürünleri A.Ş,Bin Sina Medical International Co.
2016-0140114-014898,اماك معجون اسنان ,emmak fresh breath whiter teeth daily protecti,emmak,Turkey,15,Gram (g),Temko cleaning cosmetic and food indust,ahmed abdullah albar office
2016-0140114-044810,مستشفى المواساة معجون أسنان ,Mouwasat Hospital Toothpaste,Mouwasat Hospital,China,17,Gram (g),Galien ( Zhongshan) Chemical Industrial Co. Ltd,ANYAR INTERNATIONAL TRADING Est.
2016-0140114-044877,الجيديوم معجون اسنان مع الفلورينول للاسنان الحساسة,Elgydium sensitive toothpaste gel with fluorinol,Elgydium,France,75,Milliliter (ml),Pierre Fabre Medicament Production,Bader Salem A.Bugshan and Bros
2016-0140114-044928,كامودنت معجون اسنان,Camodent II Tooth Paste ,Camodent ,Jordan,100,Gram (g),ِAwtad for Cosmetics & Chemicals Products Est,Amal Fahed Ali Algufidi Trading Establishment
2018-0140124-127200,"ميرادنت, غسول للفم, خالي من الكحول و البارابين",Miradent Mouth Wash with out Alcohol and Parabens,Miradent,China,30,Milliliter (ml),MingFai enterrprise international Co.LTD,alpha Sky
2018-0140124-109217,"وايت جلو ,غسول الفم المبيض بجزيئات الفحم النشط ,مزيل رائحة الفم الكريهة ","White Glo , Activated Charcoal Whitening Mouthwash , Bad Breath Eliminator",White Glo,China,500,Milliliter (ml),"Jiangsu Longliqi Bio-Technology Co., Ltd.",Innova HC
2017-0140124Code4-091466,روكس بخاخ منعش بالنعناع للعناية بالفم,ROCS Fresh Mint Spray,ROCS,Russia,15,Milliliter (ml),DRC Global Ltd,Branch of Abdul Aziz Mesfer Al Asmary for Trading
2016-014015401541-015060,باروديوم جل للعناية باللثة الحساسة,Parodium Gingival Gel For Sensitive Gums,Parodium,France,50,Milliliter (ml),Pierre Fabre Medicament Production,Bader Salem A.Bugshan and Bros
2016-0140114-015076,بيرو ألو فيرا خيط للأسنان,PIERROT ALOE VERA DENTAL FLOSS,Pierrot,Spain,50,Prefiiled Trays,"FUSHIMA, Laboratorios Cosmodent, S.A.",Al-Zawra'a Trading Establishment
2016-0140134Code6-015102,إيموفورم-ف بالألماس,wild Emoform-F Diamond,wild,Switzerland,85,Milliliter (ml),Dr.Wild & Co. AG,Middle East Drug Store
2016-0140114-015207,كرست للأطفال,CREST Fluoride toothpaste FOR KIDS,CREST,Germany,50,Milliliter (ml),Procter & Gamble Manufacturing GmbH,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2016-0140114-015230,أورال بى برو اكسبرت للأسنان الحسَاسة + تبيض لطيف,Oral-B Pro Expert Sensitive + Gentle Whitening,ORAL B,Germany,75,Milliliter (ml),Procter & Gamble Manufacturing GmbH,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2017-0140124-091544,غسول فم الفا اكرو فريش ,alpha acrofresh mouthwash,alpha,Turkey,300,Milliliter (ml),Alpha cosmetics & sterilizers,Ebdaa Alqadisiyah Trading Establishment
2016-0140114-045025,الجيديوم معجون اسنان جل بنكهة العلكة,Elgydium toothpaste gel with bubble gum flavour,Elgydium,France,50,Milliliter (ml),Pierre Fabre Medicament Production,Bader Salem A.Bugshan and Bros
2016-0140124-015449,ناتشر قصور الضيافة والمؤتمرات غسول الفم ,nature conference palaces mouthwash ,ناتشر,Turkey,50,Milliliter (ml),Temko cleaning cosmetic and food indust,ahmed abdullah albar office
2016-0140114-015570,ايماك فريش معجون اسنان ,emmak fresh breath whiter daily protection,ايماك ,Turkey,15,Milligram )mg(,Temko cleaning cosmetic and food indust,ahmed abdullah albar office
2017-0140124-070486, 6 في 1 غسول للقم متعدد الوظائف,6 In 1 Multi-Action Mouthwash,Beauty Formulas,United Kingdom,500,Milliliter (ml),Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2017-0140124-070510,اوكتينيدول غسول للفم ,(Octenidol Mouth wash),Octenidol,Germany,250,Milliliter (ml),Schulka & Mayer GmbH,Life Pulse Company Medical
2018-0140114-127521,تيك تاك دينت شيلدرين دينتال جل,TIC TAC DENT CHILDREN DENTAL GEL,TIC TAC DENT,Spain,50,Milliliter (ml),LASCARAY SA,KUWAIT STARS CONTRACTING ESTABLISHMENT
2016-0140114-045302,أى.مي معجون الأسنان,"A.ME toothpaste, 3gm",A.ME,China,3,Gram (g),Galien Chemical Industrial Co Ltd,Rokn Almersal Est
2016-0140124-045419,دنتامينتان كوليوتوريو غسول الفم لمنع تكون الجير,dentamentin Collutorio mouthwash antiplaque,dentamentin ,Italy,500,Milliliter (ml),converting wet wipes S.R.L,aljazira
2016-0140114-045460,كرست 3D بياض ديلوكس انتعاش للمدخنين,Crest 3DWhite Deluxe Anti-Tobacco Fresh Toothpaste,CREST,Germany,75,Milliliter (ml),Procter & Gamble Manufacturing GmbH,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2016-0140114-045466,(الايورفيديه بودرة تنظيف الاسنان),NAGARJUNA AYURVEDIC TOOTH POWDER,NAGARJUNA,India,50,Gram (g),Nagarjuna Herbal Concentrates Ltd.,FSOUL NAJD TRADING EST.
2016-0140124-045491,غسول فم,EimaSept Mouthwash,EimaSept,Jordan,200,Milliliter (ml),Al-Eiman for Cosmetics and Disinfectants ,Heba Construction Contracting Est.
2016-0140114-045499,بيوفريش معجون اسنان بيوفريش الاسنان الحساسة ,biofresh toothpaste biofresh sensitive teeth,biofresh,United Arab Emirates,100,Gram (g),soaps& chemicals ind. trd.co.-scitra,rayed abdullah al amro for trading
2016-014015401541-045515,جيليت برو 2 في 1 بلسم التلطيف المركز,Gillette Pro 2in1 Intense Cooling Balm,GILLETTE,Poland,100,Milliliter (ml),Procter & Gamble Operation Polska Poland,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2016-014015401541-045516,جيليت سيريز ترطيب جل حلاقة,Gillette Series Shaving Gel Moisturizing ,GILLETTE,United Kingdom,200,Milliliter (ml), Gillette Reading UK,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2016-0140114-045528,بيوفريش معجون اسنان ترولي تبيض اسنان ,biofresh toothpaste truly whitening,biofresh,United Arab Emirates,100,Gram (g),soaps& chemicals ind. trd.co.-scitra,rayed abdullah al amro for trading
2018-0140114-091723,ريتاج آل بيت الأجنحة طقم الأسنان,RETAJ AL BAYT SUITES DENTAL KIT,RETAJ AL BAYT SUITES,China,10,Gram (g),YANGZHOU LUCKY TOURIST PRODUCTS FACTORY ,rest hotels trading est
2018-0140124-091744,سانجر أوكلسيفا غسول للفم,Sangre Oclusiva Mouth Gargle,Sangre Oclusiva,India,150,Milliliter (ml),Themis Medicare,Alsawah drug store company
2019-0140114-143646,كوكو بلاك,Coco Black,Mr.Scrubber,Ukraine,20,Gram (g), Physical Person-Entrepreneur Kashuba Serhii Anato,gulfcare medical trading company
2019-0140114-160710,ثيراميد 2 في 1 معجون الأسنان + غسول الفم,Theramed  2 in 1 toothpaste+ Mouthwash,Theramed,Slovenia,75,Milliliter (ml),Henkel Maribor d.o.o.,The Arabian company for Detergents limited
2019-0140114-160719,ريجينيريت علم المينا معجون الأسنان المطور ,REGENERATE ENAMEL SCIENCE ADVANCED TOOTHPASTE,Regenerate,France,75,Milliliter (ml),UNILEVER FRANCE HPCI,SAID MOHAMMED OBAID BINZAGR
2019-0140114-160792,خيط لتنظيف ما بين الأسنان بنكهة النعناع,Beauty Formulas Advanced Dental Floss Waxed,Beauty Formulas,United Kingdom,1,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-160946,ريجينيريت علم المينا معجون الأسنان المطور ,REGENERATE ENAMEL SCIENCE ADVANCED TOOTHPASTE,Regenerate,France,75,Milliliter (ml),UNILEVER FRANCE HPCI,Binzager Unilever Distribution Company Limited
2019-0140114-160959,مجموعة العناية بالاسنان ,DENTAL KIT ,SHADA HOSPITALITY ,China,6,Gram (g),"IHOTEL GUEST AMENITIES CO.,LTD",WISAL INTERNATIONAL TRADING CO
2016-0140114-015634,فارمسى ايروفريش وايتينج توث باست,Farmasi Eurofresh whitening toothpast,Farmasi,Turkey,112,Gram (g),Tan-Aliza kozmetik A.S.,AL-DAWAA Medical Services Co.Ltd
2016-0140114-015660,فارمسى ايروفريش الويفيرا جيل توث باست,farmasi Eurofresh Aloevera Gel Toothpast,Farmasi,Turkey,112,Gram (g),Tan-Aliza kozmetik A.S.,AL-DAWAA Medical Services Co.Ltd
2016-0140114-015706,فارمسى مالكى شور جيل دييب موستيرازينج,Farmasi Milkey Shower Gel Deep Moisturizing,Farmasi ,Turkey,375,Milliliter (ml),Tan-Aliza kozmetik A.S.,AL-DAWAA Medical Services Co.Ltd
2016-0140114-015824,الجيديوم معجون مضاد لطبقة البلاك,Elgydium toothpaste antiplaque,Elgydium,France,150,Gram (g),Pierre Fabre Medicament Production,Bader Salem A.Bugshan and Bros
2017-0140114-070678,دابر الأعشاب معجون أسنان جل أخضى لنفش منعش بالليمو,Dabur Herb'l Green Gel toothpaste-Mint & Lemon Gel,Dabur Herb'l,United Arab Emirates,150,Gram (g),Naturelle LLC,Saudi Arabian Drug Store Company Ltd.
2017-0140114-070679,دابر الأعشاب مقاو مة علامات تقدم السن معجون الاسنا,Dabur Herb'l Anti Ageing Natural Red Toothpaste,Dabur Herb'l,United Arab Emirates,150,Gram (g),Naturelle LLC,Saudi Arabian Drug Store Company Ltd.
2017-0140114-070688,دابر احمر معجون أسنان ,Dabur Red Toothpaste,Dabur ,United Arab Emirates,200,Gram (g),Naturelle LLC,Saudi Arabian Drug Store Company Ltd.
2017-0140114-070689,دابر المسواك معجون الأسنان العشبي بخلاصة جل منعش,Dabur Miswak Herbal Toothpaste - Fresh Gel,Dabur Miswak,United Arab Emirates,90,Gram (g),Naturelle LLC,Saudi Arabian Drug Store Company Ltd.
2017-0140114-070690,دابر الأعشاب للمحخنين معجون الاسنان الطبيعي ,Dabur Herb'l Smokers Natural Toothpaste,Dabur,United Arab Emirates,150,Gram (g),Naturelle LLC,Saudi Arabian Drug Store Company Ltd.
2017-0140114-070692,دابر الأعشاب معجون أسنان طبيعي للعناية باللثة بالن,Dabur Herb'l Natural Toothpaste for Gum Care- Neem,Dabur ,United Arab Emirates,150,Gram (g),Naturelle LLC,Saudi Arabian Drug Store Company Ltd.
2017-0140114-070695,أورال-بي بنكهة العلكة للأطفال معجون أسنان بالفلوري,Oral-B Bubble Gum Stages Anticavity Fluoride Tooth,ORAL B,Germany,75,Milliliter (ml),Procter & Gamble Manufacturing GmbH,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2017-0140114-070696,أورال-بي بيري بابل للأطفال معجون أسنان بالفلوريد ض,Oral-B Berry Bubble Stages Anticavity Fluoride Too,ORAL B,Germany,75,Milliliter (ml),Procter & Gamble Manufacturing GmbH,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2016-02-004204,هيلث ويل ايجبت جوى دنت جل,health well egypt joy dent gel,Health Well Egypt,Egypt,50,Gram (g),sina cosmetics&perfumes co,top construction est
2016-014015401541-045641,جيليت سيريز بلسم ما بعد الحلاقة للبشرة الحسّاسة مع,Gillette Series Balm Sensitive with Aloe Vera,GILLETTE,Poland,100,Milliliter (ml),Procter & Gamble Operation Polska Poland,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2016-014015401541-045735,جيليت ماك 3 لحلاقة دقيقة و ناعمة ,Gillette Mach3 Close & Smooth Shave Gel,GILLETTE,United Kingdom,200,Milliliter (ml), Gillette Reading UK,Ahmad Mohammad Abdul Wahab Naghi & Sons. Alnaghi
2018-0140134Code6-092126,الجوديوم توث بيست وايتنق كول,Elgydium toothpaste whitening cool lemon,Elgydium,France,75,Milliliter (ml),PIERRE FABRE MEDICAMENT PRODUCTION,Farouk Maamoun Tamer & Co.
2018-0140114-127641,تيك تاك دينت دينتال جل,TIC TAC DENT DENTAL GEL,TIC TAC DENT,Spain,50,Milliliter (ml),LASCARAY SA,KUWAIT STARS CONTRACTING ESTABLISHMENT
2016-014015401541-015961,هوني تراب مرطب الشفاه بالعسل والشوكولاته البيضاء,honey trap lush lip balm honey and white chocolate,HONEY TRAP,United Kingdom,12,Gram (g),Lush Manufacturing Limited,alsaati medical grup
2016-0140124-016080,بيرل دروبس غسول الفم للمدخنين,PEARL DROPS SMOKERS MOUTH WASH,Pearl Drops,United Kingdom,400,Milliliter (ml),Church & Dwight UK Ltd,GULF TRADING CORP LTD
2016-0140134Code6-016081,بيرل دروبس إبتسامة هوليوود,Pearl Drops Hollywood Smile,Pearl Drops,United Kingdom,50,Milliliter (ml),Church & Dwight UK Ltd,GULF TRADING CORP LTD
2016-0140124-016082,بيرل دروبس غسول للفم بالنعناع,Pearl Drops minty mouth wash,Pearl Drops,United Kingdom,400,Milliliter (ml),Church & Dwight UK Ltd,GULF TRADING CORP LTD
2016-0140134Code6-016091,بيرل دروبس كريم للمدخنين,Pearl Drops Smokers Cream,Pearl Drops,United Kingdom,75,Milliliter (ml),Church & Dwight UK Ltd,GULF TRADING CORP LTD
2017-0140114-070989,فافوري فريش وايت مسواك معجون اسنان,Favori Fresh White Sensitive Miswak Tooth paste,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2017-0140114-070990,فافوري سنستيف ألوفيرا معجون اسنان,Favori Sensitive Aloe Vera Toothpaste ,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2017-0140124-070991,فافوري فريش وايت سبراي العناية بالفم,Favori Fresh White Mouth Care Spray,Favori ,Turkey,30,Milliliter (ml),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2017-0140114-070995,فافوري فريش وايت سنستيف  معجون اسنان,Favori Fresh White Sensitive Tooth Paste,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2017-0140114-071010,فافوري فريش وايت سموكرز معجون اسنان,Favori Fresh White Smokers Tooth paste,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2016-0140124-046064,بيوفريش غسول الفم والاسنان ف ,BiOFRESH Mouthrinse F,biofresh,United Arab Emirates,300,Milliliter (ml),soaps& chemicals ind. trd.co.-scitra,rayed abdullah al amro for trading
2017-0140114-071059,فافوري فريش وايت سنستيف معجون اسنان,Favori Fresh White Sensitive Tooth paste,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2017-0140114-071093,فافوري فريش وايت نان ارومالي معجون اسنان,Favori Fresh White Nane Aromali Tooth Paste,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2019-014015401541-143772,فرشاة اسنان كولجيت اكسترا كلين,Colgate extra Clean toothbrush,كولجيت,Vietnam,1,Piece,colgate palmolive,Nesmat Rawaya For Wholsale &Retail Trade
2019-014015401541-143776,فرشاة اسنان كولجيت دبل اكشن,Colgate Double Action toothbrush,Colgate,Vietnam,1,Piece,colgate palmolive,Nesmat Rawaya For Wholsale &Retail Trade
2019-0140114-143884,كولجيت معجون الأسنان،حماية مجوفة- مع لوازم العناية,"Colgate Toothpaste ,Cavity Protection - Dental kit",Ame,China,10,Gram (g),Yangzhou Safepure Daily Chemical Cleaning Products,Al Taef Establishment for Trading
2019-0140114-143884,كولجيت معجون الأسنان،حماية مجوفة- مع لوازم العناية,"Colgate Toothpaste ,Cavity Protection - Dental kit",Ame,China,6,Gram (g),Yangzhou Safepure Daily Chemical Cleaning Products,Al Taef Establishment for Trading
2019-0140114-161048,كولجيت معجون اسنان ,COLGATE TOOTHPASTE MAXIMUM CAVITY PROTECTION 120ML,Colgate,Saudi Arabia,120,Milliliter (ml),PREMIER GLOBAL TRADING FZCO,radi ali alsaiari est
